,응답자ID,조사시작일자,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값
176,53352481,20230828,M,50,서울특별시,4.0,1,3,3,4,3,3,3,3,4,3,3,3
177,53352565,20230828,F,60,부산광역시,1.0,4,4,3,3,3,4,2,1,2,3,2,3
178,53353129,20230828,M,50,서울특별시,3.0,1,3,3,1,1,1,4,1,2,4,2,1
179,53353230,20230828,M,50,광주광역시,1.0,1,1,2,3,1,3,1,3,1,1,3,1
180,53354228,20230828,M,20,광주광역시,2.0,1,5,3,5,3,5,2,4,2,3,3,3
181,53354512,20230828,F,20,경기도,2.0,2,1,2,3,2,4,3,3,3,3,4,1
182,53354626,20230828,M,50,경기도,4.0,1,5,2,4,2,4,2,2,3,2,5,1
183,53355848,20230828,M,40,부산광역시,2.0,3,5,4,3,3,4,4,4,4,3,2,2
184,53355899,20230828,F,30,서울특별시,2.0,2,3,3,3,1,3,3,3,3,3,3,2
185,53356627,20230828,F,30,서울특별시,4.0,1,2,3,4,1,4,3,4,3,4,3,1
186,53356671,20230828,F,60,경기도,1.0,2,2,2,4,2,4,2,4,4,4,4,2
187,53356915,20230828,M,50,서울특별시,4.0,4,1,4,3,4,3,3,3,4,3,3,3
188,53357552,20230828,F,20,경기도,2.0,2,4,3,4,3,4,3,3,4,3,5,3
189,53357604,20230828,F,40,전라남도,4.0,1,3,3,3,2,4,2,4,4,4,4,2
190,53357691,20230828,F,50,경상북도,4.0,1,1,3,3,1,3,2,3,3,3,3,3
191,53357904,20230828,M,50,전라북도,3.0,2,5,2,4,3,5,2,4,2,2,4,3
192,53358138,20230828,M,30,인천광역시,3.0,1,1,1,1,1,1,1,1,1,1,1,1
193,53358211,20230828,M,40,충청북도,4.0,3,3,3,4,3,3,3,4,4,4,3,3
194,53358297,20230828,M,20,서울특별시,2.0,3,3,3,3,3,3,3,3,3,3,3,3
195,53358543,20230828,M,20,전라남도,4.0,3,3,3,3,3,3,3,3,3,3,3,3
196,53359116,20230828,M,40,대구광역시,2.0,2,3,3,3,3,3,3,3,3,3,3,3
197,53360066,20230828,M,20,경기도,2.0,1,1,1,1,1,1,1,1,1,1,1,1
198,53360464,20230828,F,60,경기도,3.0,3,4,3,3,2,5,3,4,4,4,4,2
199,53360467,20230828,M,60,경기도,2.0,1,1,2,3,4,3,2,3,3,3,3,2
200,53360613,20230828,F,50,충청남도(세종시 포함),3.0,2,3,2,1,1,2,1,3,2,1,3,1
201,53360676,20230828,F,60,경기도,1.0,1,1,1,1,1,1,1,1,1,1,1,1
202,53360977,20230828,M,40,인천광역시,2.0,1,1,2,2,1,2,2,2,3,3,2,3
203,53361102,20230828,F,60,인천광역시,4.0,2,3,3,3,3,3,3,3,2,2,4,3
204,53361232,20230828,M,60,경기도,1.0,1,1,4,5,1,2,2,4,3,4,4,2
205,53361255,20230828,M,50,서울특별시,4.0,2,1,3,3,4,3,4,3,4,4,4,3
206,53361462,20230828,M,30,강원도,2.0,1,3,3,3,1,3,4,2,2,3,4,1
207,53361899,20230828,M,40,인천광역시,4.0,1,4,3,4,2,4,3,3,3,4,3,3
208,53362036,20230828,M,50,경기도,3.0,3,4,4,4,2,3,3,3,4,3,3,2
209,53362100,20230828,F,50,인천광역시,2.0,3,1,3,3,3,4,3,4,4,4,3,3
210,53362496,20230828,F,50,서울특별시,4.0,2,3,1,5,1,2,1,4,3,2,3,1
211,53362528,20230828,F,50,광주광역시,3.0,2,3,3,3,3,3,4,3,4,3,3,3
212,53362633,20230828,M,60,전라남도,1.0,3,2,3,3,3,3,4,1,5,3,4,4
213,53362707,20230828,F,60,경기도,1.0,1,4,3,3,3,5,2,5,5,3,1,1
214,53363494,20230828,M,50,서울특별시,2.0,1,1,2,2,1,1,1,1,1,1,1,1
215,53363984,20230828,F,40,강원도,4.0,2,4,3,2,1,5,5,4,2,4,3,2
216,53364853,20230828,F,40,충청남도(세종시 포함),3.0,3,2,3,3,3,4,3,3,3,4,4,3
217,53365150,20230828,M,50,충청남도(세종시 포함),2.0,1,1,1,3,3,3,3,3,3,3,3,3
218,53365353,20230828,F,50,부산광역시,3.0,1,3,3,4,1,2,2,2,2,2,3,1
219,53365402,20230828,M,30,경기도,2.0,2,3,4,2,1,4,3,4,4,4,4,3
220,53365663,20230828,F,30,대구광역시,3.0,2,2,2,3,2,3,3,4,2,2,4,2
221,53365735,20230828,M,50,부산광역시,2.0,3,1,3,3,3,3,3,3,3,3,3,3
222,53366944,20230828,M,40,인천광역시,4.0,1,4,3,3,1,4,1,2,3,1,2,1
223,53366971,20230828,F,50,광주광역시,4.0,1,1,1,1,1,3,3,4,4,5,4,2
224,53367065,20230828,F,20,경상북도,4.0,1,4,3,4,2,5,3,5,3,4,5,1
225,53367351,20230828,F,60,경기도,3.0,1,2,2,4,1,1,1,1,2,2,1,1
226,53367652,20230828,M,20,인천광역시,4.0,1,5,5,1,4,5,1,4,4,4,4,1
227,53367708,20230828,M,50,경기도,4.0,3,3,4,4,4,4,4,4,4,4,4,4
228,53367726,20230828,M,60,울산광역시,3.0,4,4,3,4,2,3,3,3,3,3,3,2
229,53367764,20230828,M,50,부산광역시,3.0,3,2,3,4,3,3,3,5,5,4,4,3
230,53368044,20230828,F,40,대구광역시,2.0,1,1,4,4,3,3,3,3,3,3,3,4
231,53368197,20230828,M,50,충청남도(세종시 포함),4.0,3,1,3,3,3,3,3,3,3,3,3,3
232,53368530,20230828,M,50,충청남도(세종시 포함),4.0,3,4,3,3,3,3,3,3,4,3,4,2
233,53369490,20230828,F,60,경기도,3.0,1,3,3,4,2,4,2,4,3,4,3,2
234,53369583,20230828,M,60,경기도,4.0,2,2,2,3,4,4,3,3,3,3,4,3
235,53370086,20230828,F,20,경기도,2.0,3,3,4,3,3,4,4,3,4,4,4,4
236,53370676,20230828,F,30,경상북도,2.0,1,1,1,3,1,1,1,1,1,1,4,1
237,53372098,20230828,M,30,강원도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
238,53372153,20230828,M,60,강원도,4.0,3,4,4,4,3,3,4,4,3,3,4,3
239,53372790,20230828,M,40,인천광역시,4.0,1,3,3,3,3,3,3,3,3,3,3,1
240,53373305,20230828,F,20,경상남도,3.0,3,3,3,3,3,3,3,3,3,3,3,3
241,53374226,20230828,F,20,전라북도,4.0,3,1,5,4,1,4,3,5,3,4,4,3
242,53374604,20230828,M,60,대전광역시,1.0,2,4,3,3,4,3,3,3,3,3,3,3
243,53374770,20230828,F,30,서울특별시,3.0,3,3,3,3,3,3,3,3,3,3,3,3
244,53375631,20230828,M,40,대구광역시,4.0,1,5,4,5,3,4,3,3,3,3,5,2
245,53375685,20230828,F,50,충청남도(세종시 포함),2.0,3,4,3,3,3,3,3,4,4,4,3,3
246,53375953,20230828,F,30,경상남도,3.0,4,4,4,4,4,4,4,4,4,4,4,4
247,53376112,20230828,M,60,경기도,1.0,3,5,3,3,4,4,4,4,4,5,5,3
248,53376506,20230828,M,50,경기도,3.0,1,5,4,4,2,3,3,4,4,4,3,1
249,53377343,20230828,M,30,전라남도,2.0,3,2,2,2,3,3,3,3,4,3,2,4
250,53377457,20230828,F,20,경기도,3.0,1,2,3,2,1,3,2,3,3,3,3,1
251,53346252,20230904,F,60,경기도,1.0,2,3,3,3,3,4,5,4,4,5,3,4
252,53335261,20230904,F,60,경기도,1.0,3,3,3,3,3,3,3,3,3,3,3,3
