,성별구분코드,연령대구분명,답변자거주지역명,가구소득정도명,중국여행관심값,일본여행관심값,홍콩마카오여행관심값,동남아시아여행관심값,중동서남아시아여행관심값,미국캐나다여행관심값,남미중남미여행관심값,서유럽북유럽여행관심값,동유럽여행관심값,남유럽여행관심값,남태평양여행관심값,아프리카여행관심값,군집
172,M,40,경상남도,2,3,2,4,2,2,4,2,4,2,4,4,1,2
173,F,50,울산광역시,1,3,3,3,3,4,3,3,5,5,5,3,3,0
174,M,30,서울특별시,4,1,3,4,4,3,3,4,3,4,3,3,3,1
175,M,60,전라남도,2,4,2,2,2,2,4,4,4,5,3,4,2,1
176,M,50,서울특별시,4,1,3,3,4,3,3,3,3,4,3,3,3,0
177,F,60,부산광역시,1,4,4,3,3,3,4,2,1,2,3,2,3,0
178,M,50,서울특별시,3,1,3,3,1,1,1,4,1,2,4,2,1,1
179,M,50,광주광역시,1,1,1,2,3,1,3,1,3,1,1,3,1,0
180,M,20,광주광역시,2,1,5,3,5,3,5,2,4,2,3,3,3,2
181,F,20,경기도,2,2,1,2,3,2,4,3,3,3,3,4,1,0
182,M,50,경기도,4,1,5,2,4,2,4,2,2,3,2,5,1,0
183,M,40,부산광역시,2,3,5,4,3,3,4,4,4,4,3,2,2,2
184,F,30,서울특별시,2,2,3,3,3,1,3,3,3,3,3,3,2,3
185,F,30,서울특별시,4,1,2,3,4,1,4,3,4,3,4,3,1,3
186,F,60,경기도,1,2,2,2,4,2,4,2,4,4,4,4,2,0
187,M,50,서울특별시,4,4,1,4,3,4,3,3,3,4,3,3,3,0
188,F,20,경기도,2,2,4,3,4,3,4,3,3,4,3,5,3,0
189,F,40,전라남도,4,1,3,3,3,2,4,2,4,4,4,4,2,0
190,F,50,경상북도,4,1,1,3,3,1,3,2,3,3,3,3,3,0
191,M,50,전라북도,3,2,5,2,4,3,5,2,4,2,2,4,3,1
192,M,30,인천광역시,3,1,1,1,1,1,1,1,1,1,1,1,1,1
193,M,40,충청북도,4,3,3,3,4,3,3,3,4,4,4,3,3,2
194,M,20,서울특별시,2,3,3,3,3,3,3,3,3,3,3,3,3,1
195,M,20,전라남도,4,3,3,3,3,3,3,3,3,3,3,3,3,0
196,M,40,대구광역시,2,2,3,3,3,3,3,3,3,3,3,3,3,2
197,M,20,경기도,2,1,1,1,1,1,1,1,1,1,1,1,1,2
198,F,60,경기도,3,3,4,3,3,2,5,3,4,4,4,4,2,0
199,M,60,경기도,2,1,1,2,3,4,3,2,3,3,3,3,2,2
200,F,50,충청남도(세종시 포함),3,2,3,2,1,1,2,1,3,2,1,3,1,0
201,F,60,경기도,1,1,1,1,1,1,1,1,1,1,1,1,1,0
202,M,40,인천광역시,2,1,1,2,2,1,2,2,2,3,3,2,3,2
203,F,60,인천광역시,4,2,3,3,3,3,3,3,3,2,2,4,3,0
204,M,60,경기도,1,1,1,4,5,1,2,2,4,3,4,4,2,1
205,M,50,서울특별시,4,2,1,3,3,4,3,4,3,4,4,4,3,0
206,M,30,강원도,2,1,3,3,3,1,3,4,2,2,3,4,1,2
207,M,40,인천광역시,4,1,4,3,4,2,4,3,3,3,4,3,3,2
208,M,50,경기도,3,3,4,4,4,2,3,3,3,4,3,3,2,0
209,F,50,인천광역시,2,3,1,3,3,3,4,3,4,4,4,3,3,0
210,F,50,서울특별시,4,2,3,1,5,1,2,1,4,3,2,3,1,0
211,F,50,광주광역시,3,2,3,3,3,3,3,4,3,4,3,3,3,0
212,M,60,전라남도,1,3,2,3,3,3,3,4,1,5,3,4,4,1
213,F,60,경기도,1,1,4,3,3,3,5,2,5,5,3,1,1,0
214,M,50,서울특별시,2,1,1,2,2,1,1,1,1,1,1,1,1,1
215,F,40,강원도,4,2,4,3,2,1,5,5,4,2,4,3,2,0
216,F,40,충청남도(세종시 포함),3,3,2,3,3,3,4,3,3,3,4,4,3,4
217,M,50,충청남도(세종시 포함),2,1,1,1,3,3,3,3,3,3,3,3,3,2
218,F,50,부산광역시,3,1,3,3,4,1,2,2,2,2,2,3,1,0
219,M,30,경기도,2,2,3,4,2,1,4,3,4,4,4,4,3,2
220,F,30,대구광역시,3,2,2,2,3,2,3,3,4,2,2,4,2,3
221,M,50,부산광역시,2,3,1,3,3,3,3,3,3,3,3,3,3,2
222,M,40,인천광역시,4,1,4,3,3,1,4,1,2,3,1,2,1,2
223,F,50,광주광역시,4,1,1,1,1,1,3,3,4,4,5,4,2,0
224,F,20,경상북도,4,1,4,3,4,2,5,3,5,3,4,5,1,0
225,F,60,경기도,3,1,2,2,4,1,1,1,1,2,2,1,1,0
226,M,20,인천광역시,4,1,5,5,1,4,5,1,4,4,4,4,1,0
227,M,50,경기도,4,3,3,4,4,4,4,4,4,4,4,4,4,0
228,M,60,울산광역시,3,4,4,3,4,2,3,3,3,3,3,3,2,1
229,M,50,부산광역시,3,3,2,3,4,3,3,3,5,5,4,4,3,1
230,F,40,대구광역시,2,1,1,4,4,3,3,3,3,3,3,3,4,2
231,M,50,충청남도(세종시 포함),4,3,1,3,3,3,3,3,3,3,3,3,3,0
232,M,50,충청남도(세종시 포함),4,3,4,3,3,3,3,3,3,4,3,4,2,0
233,F,60,경기도,3,1,3,3,4,2,4,2,4,3,4,3,2,0
234,M,60,경기도,4,2,2,2,3,4,4,3,3,3,3,4,3,0
235,F,20,경기도,2,3,3,4,3,3,4,4,3,4,4,4,4,0
236,F,30,경상북도,2,1,1,1,3,1,1,1,1,1,1,4,1,3
237,M,30,강원도,1,3,3,3,3,3,3,3,3,3,3,3,3,1
238,M,60,강원도,4,3,4,4,4,3,3,4,4,3,3,4,3,1
239,M,40,인천광역시,4,1,3,3,3,3,3,3,3,3,3,3,1,2
240,F,20,경상남도,3,3,3,3,3,3,3,3,3,3,3,3,3,4
241,F,20,전라북도,4,3,1,5,4,1,4,3,5,3,4,4,3,0
242,M,60,대전광역시,1,2,4,3,3,4,3,3,3,3,3,3,3,1
243,F,30,서울특별시,3,3,3,3,3,3,3,3,3,3,3,3,3,3
244,M,40,대구광역시,4,1,5,4,5,3,4,3,3,3,3,5,2,2
245,F,50,충청남도(세종시 포함),2,3,4,3,3,3,3,3,4,4,4,3,3,0
246,F,30,경상남도,3,4,4,4,4,4,4,4,4,4,4,4,4,3
247,M,60,경기도,1,3,5,3,3,4,4,4,4,4,5,5,3,1
248,M,50,경기도,3,1,5,4,4,2,3,3,4,4,4,3,1,0
249,M,30,전라남도,2,3,2,2,2,3,3,3,3,4,3,2,4,2
